MatrixSize,BlockSize,Time
32, 8, 0.239616
32, 16, 0.026656
32, 32, 0.04672
32, 64, 0.00704
64, 8, 0.026624
64, 16, 0.033024
64, 32, 0.074464
64, 64, 0.007648
128, 8, 1.92701
128, 16, 0.078336
128, 32, 0.13856
128, 64, 0.008224
256, 8, 0.406432
256, 16, 0.430176
256, 32, 0.495072
256, 64, 0.008768
512, 8, 6.57811
512, 16, 3.05309
512, 32, 3.30362
512, 64, 0.00912
1024, 8, 24.0567
1024, 16, 23.9127
1024, 32, 24.3053
1024, 64, 0.008928
2048, 8, 191.969
2048, 16, 93.021
2048, 32, 74.0077
2048, 64, 0.00704
